season,sref_conf_link,sref_conf_name,sref_link,sref_name
2002-03,sec,Southeastern Conference,kentucky,Kentucky
2002-03,sec,Southeastern Conference,florida,Florida
2002-03,sec,Southeastern Conference,georgia,Georgia
2002-03,sec,Southeastern Conference,tennessee,Tennessee
2002-03,sec,Southeastern Conference,south-carolina,South Carolina
2002-03,sec,Southeastern Conference,vanderbilt,Vanderbilt
2002-03,sec,Southeastern Conference,mississippi-state,Mississippi State
2002-03,sec,Southeastern Conference,auburn,Auburn
2002-03,sec,Southeastern Conference,louisiana-state,Louisiana State
2002-03,sec,Southeastern Conference,alabama,Alabama
2002-03,sec,Southeastern Conference,mississippi,Mississippi
2002-03,sec,Southeastern Conference,arkansas,Arkansas
2002-03,big-12,Big 12 Conference,kansas,Kansas
2002-03,big-12,Big 12 Conference,texas,Texas
2002-03,big-12,Big 12 Conference,oklahoma,Oklahoma
2002-03,big-12,Big 12 Conference,oklahoma-state,Oklahoma State
2002-03,big-12,Big 12 Conference,missouri,Missouri
2002-03,big-12,Big 12 Conference,colorado,Colorado
2002-03,big-12,Big 12 Conference,texas-tech,Texas Tech
2002-03,big-12,Big 12 Conference,texas-am,Texas A&M
2002-03,big-12,Big 12 Conference,iowa-state,Iowa State
2002-03,big-12,Big 12 Conference,baylor,Baylor
2002-03,big-12,Big 12 Conference,kansas-state,Kansas State
2002-03,big-12,Big 12 Conference,nebraska,Nebraska
2002-03,acc,Atlantic Coast Conference,wake-forest,Wake Forest
2002-03,acc,Atlantic Coast Conference,maryland,Maryland
2002-03,acc,Atlantic Coast Conference,duke,Duke
2002-03,acc,Atlantic Coast Conference,north-carolina-state,North Carolina State
2002-03,acc,Atlantic Coast Conference,georgia-tech,Georgia Tech
2002-03,acc,Atlantic Coast Conference,virginia,Virginia
2002-03,acc,Atlantic Coast Conference,north-carolina,North Carolina
2002-03,acc,Atlantic Coast Conference,clemson,Clemson
2002-03,acc,Atlantic Coast Conference,florida-state,Florida State
2002-03,big-east,Big East Conference,boston-college,Boston College
2002-03,big-east,Big East Conference,connecticut,Connecticut
2002-03,big-east,Big East Conference,providence,Providence
2002-03,big-east,Big East Conference,villanova,Villanova
2002-03,big-east,Big East Conference,st-johns-ny,St. John's (NY)
2002-03,big-east,Big East Conference,miami-fl,Miami (FL)
2002-03,big-east,Big East Conference,virginia-tech,Virginia Tech
2002-03,big-east,Big East Conference,syracuse,Syracuse
2002-03,big-east,Big East Conference,pittsburgh,Pittsburgh
2002-03,big-east,Big East Conference,seton-hall,Seton Hall
2002-03,big-east,Big East Conference,notre-dame,Notre Dame
2002-03,big-east,Big East Conference,georgetown,Georgetown
2002-03,big-east,Big East Conference,west-virginia,West Virginia
2002-03,big-east,Big East Conference,rutgers,Rutgers
2002-03,big-ten,Big Ten Conference,wisconsin,Wisconsin
2002-03,big-ten,Big Ten Conference,illinois,Illinois
2002-03,big-ten,Big Ten Conference,michigan,Michigan
2002-03,big-ten,Big Ten Conference,purdue,Purdue
2002-03,big-ten,Big Ten Conference,michigan-state,Michigan State
2002-03,big-ten,Big Ten Conference,indiana,Indiana
2002-03,big-ten,Big Ten Conference,minnesota,Minnesota
2002-03,big-ten,Big Ten Conference,ohio-state,Ohio State
2002-03,big-ten,Big Ten Conference,iowa,Iowa
2002-03,big-ten,Big Ten Conference,northwestern,Northwestern
2002-03,big-ten,Big Ten Conference,penn-state,Penn State
2002-03,pac-10,Pacific-10 Conference,arizona,Arizona
2002-03,pac-10,Pacific-10 Conference,stanford,Stanford
2002-03,pac-10,Pacific-10 Conference,california,University of California
2002-03,pac-10,Pacific-10 Conference,arizona-state,Arizona State
2002-03,pac-10,Pacific-10 Conference,oregon,Oregon
2002-03,pac-10,Pacific-10 Conference,oregon-state,Oregon State
2002-03,pac-10,Pacific-10 Conference,southern-california,Southern California
2002-03,pac-10,Pacific-10 Conference,ucla,UCLA
2002-03,pac-10,Pacific-10 Conference,washington,Washington
2002-03,pac-10,Pacific-10 Conference,washington-state,Washington State
2002-03,cusa,Conference USA,marquette,Marquette
2002-03,cusa,Conference USA,louisville,Louisville
2002-03,cusa,Conference USA,cincinnati,Cincinnati
2002-03,cusa,Conference USA,saint-louis,Saint Louis
2002-03,cusa,Conference USA,depaul,DePaul
2002-03,cusa,Conference USA,charlotte,Charlotte
2002-03,cusa,Conference USA,east-carolina,East Carolina
2002-03,cusa,Conference USA,memphis,Memphis
2002-03,cusa,Conference USA,alabama-birmingham,Alabama-Birmingham
2002-03,cusa,Conference USA,tulane,Tulane
2002-03,cusa,Conference USA,south-florida,South Florida
2002-03,cusa,Conference USA,houston,Houston
2002-03,cusa,Conference USA,southern-mississippi,Southern Mississippi
2002-03,cusa,Conference USA,texas-christian,Texas Christian
2002-03,mwc,Mountain West Conference,utah,Utah
2002-03,mwc,Mountain West Conference,brigham-young,Brigham Young
2002-03,mwc,Mountain West Conference,wyoming,Wyoming
2002-03,mwc,Mountain West Conference,nevada-las-vegas,Nevada-Las Vegas
2002-03,mwc,Mountain West Conference,san-diego-state,San Diego State
2002-03,mwc,Mountain West Conference,colorado-state,Colorado State
2002-03,mwc,Mountain West Conference,new-mexico,New Mexico
2002-03,mwc,Mountain West Conference,air-force,Air Force
2002-03,atlantic-10,Atlantic 10 Conference,saint-josephs,Saint Joseph's
2002-03,atlantic-10,Atlantic 10 Conference,temple,Temple
2002-03,atlantic-10,Atlantic 10 Conference,rhode-island,Rhode Island
2002-03,atlantic-10,Atlantic 10 Conference,massachusetts,Massachusetts
2002-03,atlantic-10,Atlantic 10 Conference,fordham,Fordham
2002-03,atlantic-10,Atlantic 10 Conference,st-bonaventure,St. Bonaventure
2002-03,atlantic-10,Atlantic 10 Conference,xavier,Xavier
2002-03,atlantic-10,Atlantic 10 Conference,dayton,Dayton
2002-03,atlantic-10,Atlantic 10 Conference,richmond,Richmond
2002-03,atlantic-10,Atlantic 10 Conference,la-salle,La Salle
2002-03,atlantic-10,Atlantic 10 Conference,george-washington,George Washington
2002-03,atlantic-10,Atlantic 10 Conference,duquesne,Duquesne
2002-03,mvc,Missouri Valley Conference,southern-illinois,Southern Illinois
2002-03,mvc,Missouri Valley Conference,creighton,Creighton
2002-03,mvc,Missouri Valley Conference,wichita-state,Wichita State
2002-03,mvc,Missouri Valley Conference,missouri-state,Missouri State
2002-03,mvc,Missouri Valley Conference,evansville,Evansville
2002-03,mvc,Missouri Valley Conference,bradley,Bradley
2002-03,mvc,Missouri Valley Conference,northern-iowa,Northern Iowa
2002-03,mvc,Missouri Valley Conference,drake,Drake
2002-03,mvc,Missouri Valley Conference,illinois-state,Illinois State
2002-03,mvc,Missouri Valley Conference,indiana-state,Indiana State
2002-03,wcc,West Coast Conference,gonzaga,Gonzaga
2002-03,wcc,West Coast Conference,san-diego,San Diego
2002-03,wcc,West Coast Conference,san-francisco,San Francisco
2002-03,wcc,West Coast Conference,pepperdine,Pepperdine
2002-03,wcc,West Coast Conference,saint-marys-ca,Saint Mary's (CA)
2002-03,wcc,West Coast Conference,portland,Portland
2002-03,wcc,West Coast Conference,loyola-marymount,Loyola Marymount
2002-03,wcc,West Coast Conference,santa-clara,Santa Clara
2002-03,wac,Western Athletic Conference,fresno-state,Fresno State
2002-03,wac,Western Athletic Conference,tulsa,Tulsa
2002-03,wac,Western Athletic Conference,southern-methodist,Southern Methodist
2002-03,wac,Western Athletic Conference,nevada,Nevada
2002-03,wac,Western Athletic Conference,rice,Rice
2002-03,wac,Western Athletic Conference,hawaii,Hawaii
2002-03,wac,Western Athletic Conference,louisiana-tech,Louisiana Tech
2002-03,wac,Western Athletic Conference,boise-state,Boise State
2002-03,wac,Western Athletic Conference,san-jose-state,San Jose State
2002-03,wac,Western Athletic Conference,texas-el-paso,Texas-El Paso
2002-03,sun-belt,Sun Belt Conference,western-kentucky,Western Kentucky
2002-03,sun-belt,Sun Belt Conference,middle-tennessee,Middle Tennessee
2002-03,sun-belt,Sun Belt Conference,arkansas-little-rock,Little Rock
2002-03,sun-belt,Sun Belt Conference,arkansas-state,Arkansas State
2002-03,sun-belt,Sun Belt Conference,florida-international,Florida International
2002-03,sun-belt,Sun Belt Conference,louisiana-lafayette,Louisiana
2002-03,sun-belt,Sun Belt Conference,new-mexico-state,New Mexico State
2002-03,sun-belt,Sun Belt Conference,south-alabama,South Alabama
2002-03,sun-belt,Sun Belt Conference,new-orleans,New Orleans
2002-03,sun-belt,Sun Belt Conference,denver,Denver
2002-03,sun-belt,Sun Belt Conference,north-texas,North Texas
2002-03,horizon,Horizon League,butler,Butler
2002-03,horizon,Horizon League,milwaukee,Milwaukee
2002-03,horizon,Horizon League,illinois-chicago,Illinois-Chicago
2002-03,horizon,Horizon League,loyola-il,Loyola (IL)
2002-03,horizon,Horizon League,detroit-mercy,Detroit Mercy
2002-03,horizon,Horizon League,green-bay,Green Bay
2002-03,horizon,Horizon League,youngstown-state,Youngstown State
2002-03,horizon,Horizon League,wright-state,Wright State
2002-03,horizon,Horizon League,cleveland-state,Cleveland State
2002-03,mac,Mid-American Conference,kent-state,Kent State
2002-03,mac,Mid-American Conference,miami-oh,Miami (OH)
2002-03,mac,Mid-American Conference,akron,Akron
2002-03,mac,Mid-American Conference,marshall,Marshall
2002-03,mac,Mid-American Conference,ohio,Ohio
2002-03,mac,Mid-American Conference,buffalo,Buffalo
2002-03,mac,Mid-American Conference,central-michigan,Central Michigan
2002-03,mac,Mid-American Conference,northern-illinois,Northern Illinois
2002-03,mac,Mid-American Conference,western-michigan,Western Michigan
2002-03,mac,Mid-American Conference,ball-state,Ball State
2002-03,mac,Mid-American Conference,bowling-green-state,Bowling Green State
2002-03,mac,Mid-American Conference,eastern-michigan,Eastern Michigan
2002-03,mac,Mid-American Conference,toledo,Toledo
2002-03,colonial,Colonial Athletic Association,north-carolina-wilmington,North Carolina-Wilmington
2002-03,colonial,Colonial Athletic Association,virginia-commonwealth,Virginia Commonwealth
2002-03,colonial,Colonial Athletic Association,drexel,Drexel
2002-03,colonial,Colonial Athletic Association,george-mason,George Mason
2002-03,colonial,Colonial Athletic Association,delaware,Delaware
2002-03,colonial,Colonial Athletic Association,old-dominion,Old Dominion
2002-03,colonial,Colonial Athletic Association,james-madison,James Madison
2002-03,colonial,Colonial Athletic Association,william-mary,William & Mary
2002-03,colonial,Colonial Athletic Association,hofstra,Hofstra
2002-03,colonial,Colonial Athletic Association,towson,Towson
2002-03,big-west,Big West Conference,california-santa-barbara,UC-Santa Barbara
2002-03,big-west,Big West Conference,california-irvine,UC-Irvine
2002-03,big-west,Big West Conference,utah-state,Utah State
2002-03,big-west,Big West Conference,cal-poly,Cal Poly
2002-03,big-west,Big West Conference,idaho,Idaho
2002-03,big-west,Big West Conference,cal-state-northridge,Cal State Northridge
2002-03,big-west,Big West Conference,cal-state-fullerton,Cal State Fullerton
