NCAA,ESPN,ESPN_PBP,Warren_Nolan,Trank,name_247,sref_link,sref_name,conference
A&M-Corpus Christi,Texas A&M-CC,Texas A&M-CC,Texas A&M-Corpus Christi,Texas A&M Corpus Chris,Texas A&M Corpus Christi,texas-am-corpus-christi,Texas A&M-Corpus Christi,Southland
Abilene Christian,Abil Christian,Abilene Christian,Abilene Christian,Abilene Christian,Abilene Christian,abilene-christian,Abilene Christian,WAC
Air Force,Air Force,Air Force,Air Force,Air Force,Air Force,air-force,Air Force,MWC
Akron,Akron,Akron,Akron,Akron,Akron,akron,Akron,MAC
Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,alabama,Alabama,SEC
Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,alabama-am,Alabama A&M,SWAC
Alabama St.,Alabama State,Alabama State,Alabama State,Alabama St.,Alabama State,alabama-state,Alabama State,SWAC
UAlbany,Albany,Albany,Albany,Albany,Albany,albany-ny,Albany (NY),Am. East
Alcorn,Alcorn State,Alcorn State,Alcorn State,Alcorn St.,Alcorn State,alcorn-state,Alcorn State,SWAC
American,American,American,American,American,American,american,American,Patriot
App State,Appalachian St,Appalachian State,Appalachian State,Appalachian St.,Appalachian State,appalachian-state,Appalachian State,Sunbelt
Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,arizona,Arizona,Pac 12
Arizona St.,Arizona State,Arizona State,Arizona State,Arizona St.,Arizona State,arizona-state,Arizona State,Pac 12
Ark.-Pine Bluff,AR-Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,Arkansas Pine Bluff,Arkansas-Pine Bluff,arkansas-pine-bluff,Arkansas-Pine Bluff,SWAC
Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,arkansas,Arkansas,SEC
Arkansas St.,Arkansas State,Arkansas St,Arkansas State,Arkansas St.,Arkansas State,arkansas-state,Arkansas State,Sunbelt
Army West Point,Army,Army,Army,Army,Army,army,Army,Patriot
Auburn,Auburn,Auburn,Auburn,Auburn,Auburn,auburn,Auburn,SEC
Austin Peay,Austin Peay,Austin Peay,Austin Peay,Austin Peay,Austin Peay,austin-peay,Austin Peay,A-Sun
Ball St.,Ball State,Ball State,Ball State,Ball St.,Ball State,ball-state,Ball State,MAC
Baylor,Baylor,Baylor,Baylor,Baylor,Baylor,baylor,Baylor,Big 12
Bellarmine,Bellarmine,Bellarmine,Bellarmine,Bellarmine,Bellarmine,,Bellarmine,A-Sun
Belmont,Belmont,Belmont,Belmont,Belmont,Belmont,belmont,Belmont,MVC
Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,Bethune Cookman,Bethune-Cookman,bethune-cookman,Bethune-Cookman,SWAC
Binghamton,Binghamton,Binghamton,Binghamton,Binghamton,Binghamton,binghamton,Binghamton,Am. East
Boise St.,Boise State,Boise State,Boise State,Boise St.,Boise State,boise-state,Boise State,MWC
Boston College,Boston College,Boston College,Boston College,Boston College,Boston College,boston-college,Boston College,ACC
Boston U.,Boston U,Boston University,Boston University,Boston University,Boston University,boston-university,Boston University,Patriot
Bowling Green,Bowling Green,Bowling Green,Bowling Green,Bowling Green,Bowling Green,bowling-green-state,Bowling Green State,MAC
Bradley,Bradley,Bradley,Bradley,Bradley,Bradley,bradley,Bradley,MVC
Brown,Brown,Brown,Brown,Brown,Brown,brown,Brown,Ivy
Bryant,Bryant,Bryant,Bryant,Bryant,Bryant University,bryant,Bryant,Am. East
Bucknell,Bucknell,Bucknell,Bucknell,Bucknell,Bucknell,bucknell,Bucknell,Patriot
Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,buffalo,Buffalo,MAC
Butler,Butler,Butler,Butler,Butler,Butler,butler,Butler,Big East
BYU,BYU,BYU,BYU,BYU,Brigham Young,brigham-young,Brigham Young,WCC
Cal Poly,Cal Poly,Cal Poly,Cal Poly,Cal Poly,Cal Poly,cal-poly,Cal Poly,Big West
Cal St. Fullerton,CSU Fullerton,CS Fullerton,Cal State Fullerton,Cal St. Fullerton,Cal State Fullerton,cal-state-fullerton,Cal State Fullerton,Big West
California,Cal,California,California,California,California,california,University of California,Pac 12
California Baptist,Cal Baptist,Cal Baptist,Cal Baptist,Cal Baptist,California Baptist,california-baptist,California Baptist,WAC
Campbell,Campbell,Campbell,Campbell,Campbell,Campbell,campbell,Campbell,Big South
Canisius,Canisius,Canisius,Canisius,Canisius,Canisius,canisius,Canisius,MAAC
Central Ark.,Cent Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,central-arkansas,Central Arkansas,A-Sun
Central Conn. St.,Cent Conn St,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut State,central-connecticut-state,Central Connecticut State,NEC
Central Mich.,Cent Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,central-michigan,Central Michigan,MAC
Charleston So.,Charleston So,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,charleston-southern,Charleston Southern,Big South
Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,charlotte,Charlotte,C-USA
Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,chattanooga,Chattanooga,Southern
Chicago St.,Chicago State,Chicago State,Chicago State,Chicago St.,Chicago State,chicago-state,Chicago State,Independent
Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,cincinnati,Cincinnati,AAC
Clemson,Clemson,Clemson,Clemson,Clemson,Clemson,clemson,Clemson,ACC
Cleveland St.,Cleveland State,Cleveland State,Cleveland State,Cleveland St.,Cleveland State,cleveland-state,Cleveland State,Horizon
Coastal Carolina,C. Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,coastal-carolina,Coastal Carolina,Sunbelt
Col. of Charleston,Charleston,Charleston,Charleston,College of Charleston,Col. of Charleston,college-of-charleston,College of Charleston,CAA
Colgate,Colgate,Colgate,Colgate,Colgate,Colgate,colgate,Colgate,Patriot
Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,colorado,Colorado,Pac 12
Colorado St.,Colorado State,Colorado State,Colorado State,Colorado St.,Colorado State,colorado-state,Colorado State,MWC
Columbia,Columbia,Columbia,Columbia,Columbia,Columbia,columbia,Columbia,Ivy
Coppin St.,Coppin State,Coppin State,Coppin State,Coppin St.,Coppin State,coppin-state,Coppin State,MEAC
Cornell,Cornell,Cornell,Cornell,Cornell,Cornell,cornell,Cornell,Ivy
Creighton,Creighton,Creighton,Creighton,Creighton,Creighton,creighton,Creighton,Big East
CSU Bakersfield,CSU Bakersfield,CSU Bakersfield,Cal State Bakersfield,Cal St. Bakersfield,Cal State Bakersfield,cal-state-bakersfield,Cal State Bakersfield,Big West
CSUN,CSU Northridge,CSU Northridge,Cal State Northridge,Cal St. Northridge,Cal State Northridge,cal-state-northridge,Cal State Northridge,Big West
Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth,dartmouth,Dartmouth,Ivy
Davidson,Davidson,Davidson,Davidson,Davidson,Davidson,davidson,Davidson,A-10
Dayton,Dayton,Dayton,Dayton,Dayton,Dayton,dayton,Dayton,A-10
Delaware,Delaware,Delaware,Delaware,Delaware,Delaware,delaware,Delaware,CAA
Delaware St.,Delaware State,Delaware State,Delaware State,Delaware St.,Delaware State,delaware-state,Delaware State,MEAC
Denver,Denver,Denver,Denver,Denver,Denver,denver,Denver,Summit
DePaul,DePaul,DePaul,DePaul,DePaul,DePaul,depaul,DePaul,Big East
Detroit Mercy,Detroit Mercy,Detroit Mercy,Detroit,Detroit,Detroit,detroit-mercy,Detroit Mercy,Horizon
Utah Tech,Utah Tech,Utah Tech,Dixie St.,Dixie St.,Dixie St.,,Dixie St.,WAC
Drake,Drake,Drake,Drake,Drake,Drake,drake,Drake,MVC
Drexel,Drexel,Drexel,Drexel,Drexel,Drexel,drexel,Drexel,CAA
Duke,Duke,Duke,Duke,Duke,Duke,duke,Duke,ACC
Duquesne,Duquesne,Duquesne,Duquesne,Duquesne,Duquesne,duquesne,Duquesne,A-10
East Carolina,ECU,East Carolina,East Carolina,East Carolina,East Carolina,east-carolina,East Carolina,AAC
Eastern Ill.,E Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,eastern-illinois,Eastern Illinois,OVC
Eastern Ky.,E Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,eastern-kentucky,Eastern Kentucky,A-Sun
Eastern Mich.,E Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,eastern-michigan,Eastern Michigan,MAC
Eastern Wash.,E Washington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,eastern-washington,Eastern Washington,Big Sky
Elon,Elon,Elon,Elon,Elon,Elon,elon,Elon,CAA
ETSU,ETSU,East Tennessee State,East Tennessee State,East Tennessee St.,East Tennessee State,east-tennessee-state,East Tennessee State,Southern
Evansville,Evansville,Evansville,Evansville,Evansville,Evansville,evansville,Evansville,MVC
Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,Fairfield,fairfield,Fairfield,MAAC
Fairleigh Dickinson,Fair Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,fairleigh-dickinson,Fairleigh Dickinson,NEC
FGCU,FGCU,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,florida-gulf-coast,Florida Gulf Coast,A-Sun
FIU,FIU,Florida International,FIU,FIU,FIU,florida-international,Florida International,C-USA
Fla. Atlantic,FAU,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,florida-atlantic,Florida Atlantic,C-USA
Florida,Florida,Florida,Florida,Florida,Florida,florida,Florida,SEC
Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,Florida A&M,florida-am,Florida A&M,SWAC
Florida St.,Florida State,Florida State,Florida State,Florida St.,Florida State,florida-state,Florida State,ACC
Fordham,Fordham,Fordham,Fordham,Fordham,Fordham,fordham,Fordham,A-10
Fresno St.,Fresno State,Fresno State,Fresno State,Fresno St.,Fresno State,fresno-state,Fresno State,MWC
Furman,Furman,Furman,Furman,Furman,Furman,furman,Furman,Southern
Ga. Southern,Ga Southern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,georgia-southern,Georgia Southern,Sunbelt
Gardner-Webb,Gardner-Webb,Gardner-Webb,Gardner-Webb,Gardner Webb,Gardner-Webb,gardner-webb,Gardner-Webb,Big South
George Mason,George Mason,George Mason,George Mason,George Mason,George Mason,george-mason,George Mason,A-10
George Washington,G Washington,George Washington,George Washington,George Washington,George Washington,george-washington,George Washington,A-10
Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,Georgetown,georgetown,Georgetown,Big East
Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,georgia,Georgia,SEC
Georgia St.,Georgia State,Georgia St,Georgia State,Georgia St.,Georgia State,georgia-state,Georgia State,Sunbelt
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,georgia-tech,Georgia Tech,ACC
Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,gonzaga,Gonzaga,WCC
Grambling,Grambling,Grambling,Grambling,Grambling St.,Grambling State,grambling,Grambling,SWAC
Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,grand-canyon,Grand Canyon,WAC
Green Bay,Green Bay,Green Bay,Green Bay,Green Bay,Wisconsin-Green Bay,green-bay,Green Bay,Horizon
Hampton,Hampton,Hampton,Hampton,Hampton,Hampton,hampton,Hampton,CAA
Hartford,Hartford,Hartford,Hartford,Hartford,Hartford,hartford,Hartford,Independent
Harvard,Harvard,Harvard,Harvard,Harvard,Harvard,harvard,Harvard,Ivy
Hawaii,Hawai'i,Hawai'i,Hawaii,Hawaii,Hawaii,hawaii,Hawaii,Big West
High Point,High Point,High Point,High Point,High Point,High Point,high-point,High Point,Big South
Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,Hofstra,hofstra,Hofstra,CAA
Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,Holy Cross,holy-cross,Holy Cross,Patriot
Houston,Houston,Houston,Houston,Houston,Houston,houston,Houston,AAC
Houston Christian,Houston Baptist,Houston Baptist,Houston Baptist,Houston Baptist,Houston Baptist,houston-baptist,Houston Baptist,Southland
Howard,Howard,Howard,Howard,Howard,Howard,howard,Howard,MEAC
Idaho,Idaho,Idaho,Idaho,Idaho,Idaho,idaho,Idaho,Big Sky
Idaho St.,Idaho State,Idaho State,Idaho State,Idaho St.,Idaho State,idaho-state,Idaho State,Big Sky
Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,illinois,Illinois,Big 10
Illinois St.,Illinois State,Illinois State,Illinois State,Illinois St.,Illinois State,illinois-state,Illinois State,MVC
Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,indiana,Indiana,Big 10
Indiana St.,Indiana State,Indiana State,Indiana State,Indiana St.,Indiana State,indiana-state,Indiana State,MVC
Iona,Iona,Iona,Iona,Iona,Iona,iona,Iona,MAAC
Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,iowa,Iowa,Big 10
Iowa St.,Iowa State,Iowa State,Iowa State,Iowa St.,Iowa State,iowa-state,Iowa State,Big 12
IUPUI,IUPUI,IUPUI,IUPUI,IUPUI,IUPUI,iupui,IUPUI,Horizon
Jackson St.,Jackson State,Jackson State,Jackson State,Jackson St.,Jackson State,jackson-state,Jackson State,SWAC
Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,jacksonville,Jacksonville,A-Sun
Jacksonville St.,Jacksonville St,Jacksonville State,Jacksonville State,Jacksonville St.,Jacksonville State,jacksonville-state,Jacksonville State,A-Sun
James Madison,JMU,James Madison,James Madison,James Madison,James Madison,james-madison,James Madison,Sunbelt
Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,kansas,Kansas,Big 12
Kansas City,UMKC,UM Kansas City,UMKC,UMKC,Missouri-Kansas City,missouri-kansas-city,Missouri-Kansas City,Summit
Kansas St.,Kansas State,Kansas State,Kansas State,Kansas St.,Kansas State,kansas-state,Kansas State,Big 12
Kennesaw St.,Kennesaw State,Kennesaw State,Kennesaw State,Kennesaw St.,Kennesaw State,kennesaw-state,Kennesaw State,A-Sun
Kent St.,Kent State,Kent State,Kent State,Kent St.,Kent State,kent-state,Kent State,MAC
Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,kentucky,Kentucky,SEC
La Salle,La Salle,La Salle,La Salle,La Salle,La Salle,la-salle,La Salle,A-10
Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,Lafayette,lafayette,Lafayette,Patriot
Lamar University,Lamar,Lamar,Lamar,Lamar,Lamar,lamar,Lamar,Southland
Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,Lehigh,lehigh,Lehigh,Patriot
Liberty,Liberty,Liberty,Liberty,Liberty,Liberty,liberty,Liberty,A-Sun
Lipscomb,Lipscomb,Lipscomb,Lipscomb,Lipscomb,Lipscomb,lipscomb,Lipscomb,A-Sun
Little Rock,Little Rock,Arkansas-Little Rock,Arkansas-Little Rock,Little Rock,Arkansas-Little Rock,arkansas-little-rock,Little Rock,OVC
LIU,LIU,Long Island University,Long Island,LIU Brooklyn,Long Island,long-island-university,Long Island University,NEC
LMU (CA),Loyola Mary,Loyola Marymount,Loyola-Marymount,Loyola Marymount,Loyola Marymount,loyola-marymount,Loyola Marymount,WCC
Long Beach St.,Long Beach State,Long Beach State,Long Beach State,Long Beach St.,Long Beach State,long-beach-state,Cal State Long Beach,Big West
Longwood,Longwood,Longwood,Longwood,Longwood,Longwood,longwood,Longwood,Big South
Louisiana,Louisiana,Louisiana,Louisiana-Lafayette,Louisiana Lafayette,Louisiana,louisiana-lafayette,Louisiana,Sunbelt
Louisiana Tech,LA Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,louisiana-tech,Louisiana Tech,C-USA
Louisville,Louisville,Louisville,Louisville,Louisville,Louisville,louisville,Louisville,ACC
