team,id,link,espn_abbrv
Abil Christian,2000.0,abilene-christian-wildcats,ACU
Air Force,2005.0,air-force-falcons,AFA
Akron,2006.0,akron-zips,AKR
Alabama,333.0,alabama-crimson-tide,ALA
Alabama A&M,2010.0,alabama-am-bulldogs,AAMU
Alabama State,2011.0,alabama-state-hornets,ALST
Albany,399.0,albany-great-danes,ALB
Alcorn State,2016.0,alcorn-state-braves,ALCN
American,44.0,american-eagles,AMER
Appalachian St,2026.0,appalachian-state-mountaineers,APP
AR-Pine Bluff,2029.0,arkansas-pine-bluff-golden-lions,UAPB
Arizona,12.0,arizona-wildcats,ARIZ
Arizona State,9.0,arizona-state-sun-devils,ASU
Arkansas,8.0,arkansas-razorbacks,ARK
Arkansas State,2032.0,arkansas-state-red-wolves,ARST
Army,349.0,army-black-knights,ARMY
Auburn,2.0,auburn-tigers,AUB
Austin Peay,2046.0,austin-peay-governors,APSU
Ball State,2050.0,ball-state-cardinals,BALL
Baylor,239.0,baylor-bears,BAY
Bellarmine,91.0,bellarmine-knights,BELL
Belmont,2057.0,belmont-bruins,BEL
Bethune-Cookman,2065.0,bethune-cookman-wildcats,BCU
Binghamton,2066.0,binghamton-bearcats,BING
Boise State,68.0,boise-state-broncos,BSU
Boston College,103.0,boston-college-eagles,BC
Boston U,104.0,boston-university-terriers,BU
Bowling Green,189.0,bowling-green-falcons,BGSU
Bradley,71.0,bradley-braves,BRAD
Brown,225.0,brown-bears,BRWN
Bryant,2803.0,bryant-bulldogs,BRY
Bucknell,2083.0,bucknell-bison,BUCK
Buffalo,2084.0,buffalo-bulls,BUFF
Butler,2086.0,butler-bulldogs,BUT
BYU,252.0,byu-cougars,BYU
C. Carolina,324.0,coastal-carolina-chanticleers,CCU
Cal,25.0,california-golden-bears,CAL
Cal Baptist,2856.0,california-baptist-lancers,CBU
Cal Poly,13.0,cal-poly-mustangs,CP
Campbell,2097.0,campbell-fighting-camels,CAMP
Canisius,2099.0,canisius-golden-griffins,CAN
Cent Arkansas,2110.0,central-arkansas-bears,CARK
Cent Conn St,2115.0,central-connecticut-blue-devils,CCSU
Cent Michigan,2117.0,central-michigan-chippewas,CMU
Charleston,232.0,charleston-cougars,COFC
Charleston So,2127.0,charleston-southern-buccaneers,CHSO
Charlotte,2429.0,charlotte-49ers,CHAR
Chattanooga,236.0,chattanooga-mocs,UTC
Chicago State,2130.0,chicago-state-cougars,CHST
Cincinnati,2132.0,cincinnati-bearcats,CIN
Clemson,228.0,clemson-tigers,CLEM
Cleveland State,325.0,cleveland-state-vikings,CLEV
Colgate,2142.0,colgate-raiders,COLG
Colorado,38.0,colorado-buffaloes,COLO
Colorado State,36.0,colorado-state-rams,CSU
Columbia,171.0,columbia-lions,COLU
Coppin State,2154.0,coppin-state-eagles,COPP
Cornell,172.0,cornell-big-red,CORN
Creighton,156.0,creighton-bluejays,CREI
CSU Bakersfield,2934.0,csu-bakersfield-roadrunners,CSUB
CSU Fullerton,2239.0,csu-fullerton-titans,CSUF
CSU Northridge,2463.0,csu-northridge-matadors,CSUN
Dartmouth,159.0,dartmouth-big-green,DART
Davidson,2166.0,davidson-wildcats,DAV
Dayton,2168.0,dayton-flyers,DAY
Delaware,48.0,delaware-blue-hens,DEL
Delaware State,2169.0,delaware-state-hornets,DSU
Denver,2172.0,denver-pioneers,DEN
DePaul,305.0,depaul-blue-demons,DEP
