ncaa_name,espn_name,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3,conference
A&M-Corpus Christi,Texas A&M-CC,#0067C5,#007F3E,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg/260px-Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg.png,,Southland
Abilene Christian,Abil Christian,#461D7C,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Abilene_Christian_Wildcats_logo.svg/320px-Abilene_Christian_Wildcats_logo.svg.png,,WAC
Air Force,Air Force,#003087,#8A8D8F,#B1B3B3,#FFC72C,#000000,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Air_Force_Falcons_logo.svg,,MWC
Akron,Akron,#041E42,#A89968,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Akron_Zips_logo.svg/200px-Akron_Zips_logo.svg.png,,MAC
Alabama,Alabama,#9E1B32,#828A8F,#FFFFFF,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/200px-Alabama_Crimson_Tide_logo.svg.png,,SEC
Alabama A&M,Alabama A&M,#660000,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Alabama_A%26M_Bulldogs_logo.svg/201px-Alabama_A%26M_Bulldogs_logo.svg.png,,SWAC
Alabama St.,Alabama State,#C99700,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Alabama_State_Hornets_logo.svg/320px-Alabama_State_Hornets_logo.svg.png,,SWAC
UAlbany,Albany,#461660,#EEB211,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Albany_Great_Danes_logo.svg/200px-Albany_Great_Danes_logo.svg.png,,Am. East
Alcorn,Alcorn State,#46166A,#E9A713,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Alcorn_State_athletics_logo.svg/280px-Alcorn_State_athletics_logo.svg.png,,SWAC
American,American,#C4122E,#005099,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/American_Eagles_logo.svg/240px-American_Eagles_logo.svg.png,,Patriot
App State,Appalachian St,#222222,#FFCC00,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/200px-Appalachian_State_Mountaineers_logo.svg.png,,Sunbelt
Arizona,Arizona,#CC0033,#003366,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arizona_Wildcats_logo.svg/200px-Arizona_Wildcats_logo.svg.png,,Pac 12
Arizona St.,Arizona State,#8C1D40,#FFC627,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Arizona_State_Sun_Devils_logo.svg/245px-Arizona_State_Sun_Devils_logo.svg.png,,Pac 12
Ark.-Pine Bluff,AR-Pine Bluff,#000000,#EEB310,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Arkansas%E2%80%93Pine_Bluff_Golden_Lions_logo.svg/290px-Arkansas%E2%80%93Pine_Bluff_Golden_Lions_logo.svg.png,,SWAC
Arkansas,Arkansas,#9D2235,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arkansas_Razorbacks_logo.svg/200px-Arkansas_Razorbacks_logo.svg.png,,SEC
Arkansas St.,Arkansas State,#CC092F,#000000,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/200px-Arkansas_State_Red_Wolves_wordmark.svg.png,,Sunbelt
